Country,Population density (inhab/km2),GDP per capita (current US$/inhab),Long-term average annual precipitation in depth (mm/year),Total internal renewable water resources per capita (m3/inhab/yr),Water resources: total external renewable (10^9 m3/yr),Total renewable water resources per capita (m3/inhab/yr),Dam capacity per capita (m3/inhab),Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),Environmental Flow Requirements (10^9 m3/year),SDG 6.4.2. Water Stress (%),SDG 6.4.1. Water Use Efficiency (US$/m3),SDG 6.4.1. Irrigated Agriculture Water Use Efficiency (US$/m3),SDG 6.4.1. Industrial Water Use Efficiency (US$/m3),SDG 6.4.1. Services Water Use Efficiency (US$/m3),Irrigated cropping intensity (%),Flood occurrence (WRI)
Lesotho,69.44426877,1162.716412,788,2480.638686,-2.208,1433.36331,1362.878546,20.77475611,1.315,2.565905097,48.61753663,0.015867065,32.60901104,73.86037943,100,3.3
Liberia,43.26993804,437.118973,2391,41502.61892,32,48143.03795,49.51262437,30.2761605,176.8,0.264311594,4.615814353,0.035593686,4.091905387,5.667104291,100,1.9
Libya,3.795627835,5312.471944,56,104.8130293,0,104.8130293,58.37935998,872.942801,,817.1428571,4.287071605,0.018497703,58.98246137,11.98403487,121.1940299,0
Liechtenstein,236.9375,178107.1977,,,0,0,,,,,,,,474.2210839,,3.3
Lithuania,42.90494716,18583.56844,656,5518.937166,9.04,8746.051782,176.7773405,90.81257604,10.63,1.834102379,156.5520804,0.029486577,174.7976648,213.8447095,74.36893204,2.4
Luxembourg,233.2992278,120137.9555,934,1654.95784,2.5,5792.35244,102.6073861,86.38879925,2.294,4.328358209,1096.77276,0,3535.664478,1014.734449,,3.1
Madagascar,44.71741288,527.386601,1513,12832.07614,0,12832.07614,18.78966259,516.2111959,217.5,11.26150628,0.765236259,0.10608842,17.30765741,15.67841073,135.6777494,2.6
Malawi,153.1331617,375.49037,1181,889.5886545,1.14,952.4220539,2.301411045,74.78276868,9.529,17.50483809,3.26309941,0.035192664,19.40394518,24.18427986,108.3703704,3.3
Malaysia,95.30844317,11190.75401,2875,18396.32685,0,18396.32685,712.0705564,174.0673134,385,3.43948718,58.42048464,0.917378774,75.85917865,144.4326928,183.5511145,3.1
Maldives,1718.986667,11991.75312,1972,58.17380782,0,58.17380782,0,11.44084887,,15.66666667,,,1941.131984,630.772591,,
Mali,15.38292439,898.685409,282,3145.025128,60,6290.050257,723.0936941,271.8350053,55.2,8.00308642,1.858635291,0.047417621,787.0589498,58.41123732,149.8213009,2.6
Malta,1372.65,33671.58935,560,114.9692201,0,114.9692201,0,145.7035661,,85.14851485,174.1032789,2.210750393,1341.40018,263.4038085,100,0
Marshall Islands,324.5166667,4028.711494,,,0,0,,,,,,,,,,
Mauritania,4.272157757,1678.315035,92,90.840692,11,2588.959722,113.550865,306.6327558,1.222,13.24621733,3.932657191,0.352240738,47.66822045,35.25402417,174.9562172,2.5
Mauritius,621.1691176,11211.98418,2041,2170.953728,0,2170.953728,73.28843066,470.3338502,,21.48309706,18.90090643,0.385375691,186.6033668,32.36707826,83.46153846,
Mexico,64.23949949,9356.145765,758,3241.124067,52.888,3660.235484,1206.760037,703.9499587,262.08,44.46268418,13.07440248,0.263479819,42.08432043,60.0842683,104.3290677,2.9
Micronesia (Federated States of),160.9142857,3495.367468,,,0,0,,,,,,,,,,
Monaco,19083.37444,184807.8284,,,,,,129.2590869,,,,,,1150.511934,,2.8
Mongolia,2.026841999,4167.368686,241,10977.17001,0,10977.17001,78.85897996,145.8575693,21.18,3.395007342,22.82883361,0.258161821,29.12547895,124.7378644,96.57142857,1.3
Montenegro,45.46046343,8752.031333,,,,,1637.440687,256.2881386,,,21.93125731,47.32526778,7.879330072,30.63759769,100,3.5
Morocco,80.68322248,3258.233846,346,804.9050805,0,804.9050805,498.4441324,289.5160308,8.167,50.75121202,8.715868798,0.432899935,126.3892168,56.59179837,127.5913497,2.9
Mozambique,36.89860142,482.063443,1032,3400.460618,116.8,7360.319045,2513.444533,49.938968,133,1.751486326,7.828018101,0.058985165,149.9509911,20.74846196,100,3
Myanmar,79.37502956,1350.738003,2091,18671.22263,165,21743.37235,289.154455,621.7174546,595,5.801501397,1.853438085,0.203587502,50.7071385,9.20745477,133.2213154,3.2
Namibia,2.970193743,5610.397958,285,2516.030504,33.75,16301.10023,289.3978314,117.632595,7.19,0.861552567,36.86077457,0.071887622,230.2144692,101.0746725,100,2.1
Nauru,533.5,11201.86037,,937.2071228,0,937.2071228,,,,,,,,,,
